pair,starttime,endtime,interval,0.01,0.02,start,end
nuls/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",81729,17010,,
beam/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",92766,16912,,
pond/usdt,2021-03-09 08:00:00,2023-01-01 00:00:00,"662 days, 16:00:00",88360,16907,,
sand/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",126873,16883,,
unfi/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",103349,16717,,
lit/usdt,2021-02-04 06:00:00,2023-01-01 00:00:00,"695 days, 18:00:00",100836,16674,,
fio/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",68459,16671,,
santos/usdt,2021-12-01 11:00:00,2023-01-01 00:00:00,"395 days, 13:00:00",55738,16444,,
nano/usdt,2021-01-01 00:00:00,2022-01-24 03:59:00,"388 days, 3:59:00",79945,16429,,
wtc/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",92622,16361,,
idex/usdt,2021-09-09 08:00:00,2023-01-01 00:00:00,"478 days, 16:00:00",60514,16180,,
fet/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",142640,15785,,
iotx/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",87682,15785,,
chz/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",104487,15626,,
cos/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",97252,15577,,
shib/usdt,2021-05-10 11:00:00,2023-01-01 00:00:00,"600 days, 13:00:00",77918,15373,,
om/usdt,2021-03-08 09:00:00,2023-01-01 00:00:00,"663 days, 15:00:00",62999,15320,,
dexe/usdt,2021-07-23 10:00:00,2023-01-01 00:00:00,"526 days, 14:00:00",48696,15302,,
req/usdt,2021-08-20 10:00:00,2023-01-01 00:00:00,"498 days, 14:00:00",47569,15199,,
tfuel/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",97847,15000,,
mtl/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",82644,14957,,
iris/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",91108,14769,,
akro/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",87271,14757,,
reef/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",106860,14607,,
mana/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",101949,14604,,
utk/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",100746,14511,,
bar/usdt,2021-04-21 11:00:00,2023-01-01 00:00:00,"619 days, 13:00:00",57980,14048,,
celo/usdt,2021-01-05 08:30:00,2023-01-01 00:00:00,"725 days, 15:30:00",74522,13745,,
beta/usdt,2021-10-08 12:00:00,2023-01-01 00:00:00,"449 days, 12:00:00",63909,13653,,
hard/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",64425,13611,,
storj/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",80914,13559,,
coti/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",121365,13537,,
uma/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",64375,13422,,
spell/usdt,2021-12-24 08:00:00,2023-01-01 00:00:00,"372 days, 16:00:00",62189,13417,,
jasmy/usdt,2021-11-22 12:00:00,2023-01-01 00:00:00,"404 days, 12:00:00",118668,13374,,
dock/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",78953,13351,,
enj/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",104504,13321,,
kmd/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",65453,13288,,
axs/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",116632,13213,,
bond/usdt,2021-07-05 06:00:00,2023-01-01 00:00:00,"544 days, 18:00:00",43668,13164,,
sfp/usdt,2021-02-08 13:00:00,2023-01-01 00:00:00,"691 days, 11:00:00",77898,12994,,
ardr/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",68725,12990,,
rvn/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",77748,12890,,
firo/usdt,2021-01-29 02:00:00,2023-01-01 00:00:00,"701 days, 22:00:00",58850,12853,,
ankr/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",86503,12834,,
hbar/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",91763,12834,,
tko/usdt,2021-04-07 13:00:00,2023-01-01 00:00:00,"633 days, 11:00:00",73169,12834,,
loka/usdt,2022-01-20 12:00:00,2023-01-01 00:00:00,"345 days, 12:00:00",54042,12827,,
dia/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",101136,12787,,
lsk/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",72051,12762,,
rose/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",98155,12753,,
ckb/usdt,2021-01-26 12:00:00,2023-01-01 00:00:00,"704 days, 12:00:00",77794,12735,,
lrc/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",88086,12715,,
blz/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",96127,12693,,
porto/usdt,2021-11-16 12:00:00,2023-01-01 00:00:00,"410 days, 12:00:00",50018,12521,,
rlc/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",84540,12487,,
torn/usdt,2021-06-11 06:00:00,2022-12-27 02:59:00,"563 days, 20:59:00",52063,12437,,
ramp/usdt,2021-03-22 09:00:00,2022-07-04 03:59:00,"468 days, 18:59:00",60825,12434,,
yfii/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",66696,12434,,
twt/usdt,2021-01-27 08:00:00,2023-01-01 00:00:00,"703 days, 16:00:00",89302,12271,,
ooki/usdt,2021-12-24 04:00:00,2023-01-01 00:00:00,"372 days, 20:00:00",44112,12225,,
ern/usdt,2021-06-22 06:00:00,2023-01-01 00:00:00,"557 days, 18:00:00",53155,12184,,
oxt/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",58584,12182,,
alice/usdt,2021-03-15 06:00:00,2023-01-01 00:00:00,"656 days, 18:00:00",117706,12047,,
btt/usdt,2021-01-01 00:00:00,2022-01-17 03:59:00,"381 days, 3:59:00",68618,12041,,
alpha/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",103022,11978,,
audio/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",90679,11969,,
srm/usdt,2021-01-01 00:00:00,2022-11-28 02:59:00,"696 days, 2:59:00",83287,11968,,
strax/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",77856,11957,,
rep/usdt,2021-01-01 00:00:00,2022-12-22 08:59:00,"720 days, 8:59:00",61258,11947,,
mask/usdt,2021-05-25 06:00:00,2023-01-01 00:00:00,"585 days, 18:00:00",71350,11881,,
sc/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",81853,11845,,
iost/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",77523,11786,,
rad/usdt,2021-10-07 07:00:00,2023-01-01 00:00:00,"450 days, 17:00:00",39511,11714,,
rare/usdt,2021-10-11 06:00:00,2023-01-01 00:00:00,"446 days, 18:00:00",46800,11637,,
alpine/usdt,2022-02-21 12:00:00,2023-01-01 00:00:00,"313 days, 12:00:00",43315,11586,,
ata/usdt,2021-06-07 06:00:00,2023-01-01 00:00:00,"572 days, 18:00:00",58095,11578,,
pundix/usdt,2021-04-09 04:00:00,2023-01-01 00:00:00,"631 days, 20:00:00",51827,11545,,
wnxm/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",53576,11511,,
chess/usdt,2021-10-22 06:00:00,2023-01-01 00:00:00,"435 days, 18:00:00",40557,11477,,
nbt/usdt,2022-03-11 06:00:00,2023-01-01 00:00:00,"295 days, 18:00:00",29430,11438,,
orn/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",91167,11376,,
gala/usdt,2021-09-13 06:00:00,2023-01-01 00:00:00,"474 days, 18:00:00",61625,11284,,
npxs/usdt,2021-01-01 00:00:00,2021-04-05 04:22:00,"94 days, 4:22:00",45094,11264,,
inj/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",68391,11246,,
auto/usdt,2021-04-02 09:00:00,2023-01-01 00:00:00,"638 days, 15:00:00",57920,11233,,
sol/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",84723,11190,,
fun/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",50672,11150,,
cvc/usdt,2021-01-01 00:00:00,2022-12-09 02:59:00,"707 days, 2:59:00",66589,11136,,
ar/usdt,2021-05-14 12:00:00,2023-01-01 00:00:00,"596 days, 12:00:00",78479,11119,,
eps/usdt,2021-04-02 09:00:00,2022-05-09 03:59:00,"401 days, 18:59:00",89440,11101,,
zen/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",74284,11064,,
qi/usdt,2021-11-15 08:00:00,2023-01-01 00:00:00,"411 days, 16:00:00",62389,11042,,
farm/usdt,2021-08-11 08:00:00,2023-01-01 00:00:00,"507 days, 16:00:00",36783,11040,,
dar/usdt,2021-11-04 08:00:00,2023-01-01 00:00:00,"422 days, 16:00:00",55395,10939,,
trb/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",88303,10862,,
kp3r/usdt,2021-11-12 10:00:00,2023-01-01 00:00:00,"414 days, 14:00:00",51596,10848,,
pha/usdt,2021-06-25 10:00:00,2023-01-01 00:00:00,"554 days, 14:00:00",34742,10687,,
perp/usdt,2021-03-19 08:00:00,2023-01-01 00:00:00,"652 days, 16:00:00",59901,10597,,
gmt/usdt,2022-03-09 12:00:00,2023-01-01 00:00:00,"297 days, 12:00:00",51225,10581,,
arpa/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",80023,10481,,
dusk/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",73199,10474,,
flm/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",76114,10360,,
wan/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",68310,10287,,
cvp/usdt,2021-10-04 10:00:00,2023-01-01 00:00:00,"453 days, 14:00:00",31537,10096,,
