pair,starttime,endtime,interval,0.01,0.02,start,end
nano/usdt,2021-01-01 00:00:00,2022-01-24 03:59:00,"388 days, 3:59:00",79945,16429,2023-01-26 22:22:12,2023-01-26 22:22:14
wtc/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",92622,16361,2023-01-26 22:22:15,2023-01-26 22:27:41
idex/usdt,2021-09-09 08:00:00,2023-01-01 00:00:00,"478 days, 16:00:00",60514,16180,2023-01-26 22:22:33,2023-01-26 22:28:16
fet/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",142640,15785,2023-01-26 22:23:13,2023-01-26 22:32:08
iotx/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",87682,15785,2023-01-26 22:23:47,2023-01-26 22:30:02
chz/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",104487,15626,2023-01-26 22:26:13,2023-01-26 22:32:26
cos/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",97252,15577,2023-01-26 22:27:44,2023-01-26 22:33:31
shib/usdt,2021-05-10 11:00:00,2023-01-01 00:00:00,"600 days, 13:00:00",77918,15373,2023-01-26 22:28:19,2023-01-26 22:34:44
om/usdt,2021-03-08 09:00:00,2023-01-01 00:00:00,"663 days, 15:00:00",62999,15320,2023-01-26 22:30:05,2023-01-26 22:36:06
dexe/usdt,2021-07-23 10:00:00,2023-01-01 00:00:00,"526 days, 14:00:00",48696,15302,2023-01-26 22:32:10,2023-01-26 22:38:01
req/usdt,2021-08-20 10:00:00,2023-01-01 00:00:00,"498 days, 14:00:00",47569,15199,2023-01-26 22:32:29,2023-01-26 22:38:54
tfuel/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",97847,15000,2023-01-26 22:33:34,2023-01-26 22:39:34
mtl/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",82644,14957,2023-01-26 22:34:47,2023-01-26 22:40:22
iris/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",91108,14769,2023-01-26 22:36:09,2023-01-26 22:42:00
akro/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",87271,14757,2023-01-26 22:38:04,2023-01-26 22:44:08
reef/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",106860,14607,2023-01-26 22:38:57,2023-01-26 22:45:28
mana/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",101949,14604,2023-01-26 22:39:37,2023-01-26 22:46:03
utk/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",100746,14511,2023-01-26 22:40:25,2023-01-26 22:46:19
bar/usdt,2021-04-21 11:00:00,2023-01-01 00:00:00,"619 days, 13:00:00",57980,14048,2023-01-26 22:42:03,2023-01-26 22:48:19
celo/usdt,2021-01-05 08:30:00,2023-01-01 00:00:00,"725 days, 15:30:00",74522,13745,2023-01-26 22:44:11,2023-01-26 22:50:37
beta/usdt,2021-10-08 12:00:00,2023-01-01 00:00:00,"449 days, 12:00:00",63909,13653,2023-01-26 22:45:31,2023-01-26 22:51:57
hard/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",64425,13611,2023-01-26 22:46:06,2023-01-26 22:51:46
storj/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",80914,13559,2023-01-26 22:46:22,2023-01-26 22:52:21
coti/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",121365,13537,2023-01-26 22:48:22,2023-01-26 22:54:16
uma/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",64375,13422,2023-01-26 22:50:40,2023-01-26 22:56:35
spell/usdt,2021-12-24 08:00:00,2023-01-01 00:00:00,"372 days, 16:00:00",62189,13417,2023-01-26 22:51:49,2023-01-26 22:57:47
jasmy/usdt,2021-11-22 12:00:00,2023-01-01 00:00:00,"404 days, 12:00:00",118668,13374,2023-01-26 22:52:00,2023-01-26 22:58:54
dock/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",78953,13351,2023-01-26 22:52:24,2023-01-26 22:58:10
enj/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",104504,13321,2023-01-26 22:54:20,2023-01-26 23:01:03
kmd/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",65453,13288,2023-01-26 22:56:38,2023-01-26 23:02:43
axs/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",116632,13213,2023-01-26 22:57:50,2023-01-26 23:03:44
bond/usdt,2021-07-05 06:00:00,2023-01-01 00:00:00,"544 days, 18:00:00",43668,13164,2023-01-26 22:58:13,2023-01-26 23:05:07
sfp/usdt,2021-02-08 13:00:00,2023-01-01 00:00:00,"691 days, 11:00:00",77898,12994,2023-01-26 22:58:57,2023-01-26 23:05:14
ardr/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",68725,12990,2023-01-26 23:01:06,2023-01-26 23:06:54
rvn/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",77748,12890,2023-01-26 23:02:46,2023-01-26 23:09:17
firo/usdt,2021-01-29 02:00:00,2023-01-01 00:00:00,"701 days, 22:00:00",58850,12853,2023-01-26 23:03:47,2023-01-26 23:09:31
ankr/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",86503,12834,2023-01-26 23:05:10,2023-01-26 23:12:02
hbar/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",91763,12834,2023-01-26 23:05:17,2023-01-26 23:11:58
tko/usdt,2021-04-07 13:00:00,2023-01-01 00:00:00,"633 days, 11:00:00",73169,12834,2023-01-26 23:06:57,2023-01-26 23:13:45
loka/usdt,2022-01-20 12:00:00,2023-01-01 00:00:00,"345 days, 12:00:00",54042,12827,2023-01-26 23:09:20,2023-01-26 23:16:04
dia/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",101136,12787,2023-01-26 23:09:34,2023-01-26 23:15:13
lsk/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",72051,12762,2023-01-26 23:12:01,2023-01-26 23:18:04
rose/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",98155,12753,2023-01-26 23:12:05,2023-01-26 23:18:17
ckb/usdt,2021-01-26 12:00:00,2023-01-01 00:00:00,"704 days, 12:00:00",77794,12735,2023-01-26 23:13:48,2023-01-26 23:21:28
lrc/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",88086,12715,2023-01-26 23:15:16,2023-01-26 23:21:16
blz/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",96127,12693,2023-01-26 23:16:07,2023-01-26 23:22:08
porto/usdt,2021-11-16 12:00:00,2023-01-01 00:00:00,"410 days, 12:00:00",50018,12521,2023-01-26 23:18:07,2023-01-26 23:24:20
rlc/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",84540,12487,2023-01-26 23:18:20,2023-01-26 23:24:31
torn/usdt,2021-06-11 06:00:00,2022-12-27 02:59:00,"563 days, 20:59:00",52063,12437,2023-01-26 23:21:19,2023-01-26 23:21:21
ramp/usdt,2021-03-22 09:00:00,2022-07-04 03:59:00,"468 days, 18:59:00",60825,12434,2023-01-26 23:21:22,2023-01-26 23:21:23
yfii/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",66696,12434,2023-01-26 23:21:24,2023-01-26 23:27:34
twt/usdt,2021-01-27 08:00:00,2023-01-01 00:00:00,"703 days, 16:00:00",89302,12271,2023-01-26 23:21:31,2023-01-26 23:27:33
ooki/usdt,2021-12-24 04:00:00,2023-01-01 00:00:00,"372 days, 20:00:00",44112,12225,2023-01-26 23:22:11,2023-01-26 23:28:12
ern/usdt,2021-06-22 06:00:00,2023-01-01 00:00:00,"557 days, 18:00:00",53155,12184,2023-01-26 23:24:23,2023-01-26 23:30:07
oxt/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",58584,12182,2023-01-26 23:24:34,2023-01-26 23:30:21
alice/usdt,2021-03-15 06:00:00,2023-01-01 00:00:00,"656 days, 18:00:00",117706,12047,2023-01-26 23:27:37,2023-01-26 23:33:53
btt/usdt,2021-01-01 00:00:00,2022-01-17 03:59:00,"381 days, 3:59:00",68618,12041,2023-01-26 23:28:15,2023-01-26 23:28:18
alpha/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",103022,11978,2023-01-26 23:28:19,2023-01-26 23:35:07
audio/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",90679,11969,2023-01-26 23:30:10,2023-01-26 23:36:32
srm/usdt,2021-01-01 00:00:00,2022-11-28 02:59:00,"696 days, 2:59:00",83287,11968,2023-01-26 23:30:24,2023-01-26 23:30:26
strax/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",77856,11957,2023-01-26 23:30:27,2023-01-26 23:36:18
rep/usdt,2021-01-01 00:00:00,2022-12-22 08:59:00,"720 days, 8:59:00",61258,11947,2023-01-26 23:33:45,2023-01-26 23:33:47
mask/usdt,2021-05-25 06:00:00,2023-01-01 00:00:00,"585 days, 18:00:00",71350,11881,2023-01-26 23:33:48,2023-01-26 23:39:53
sc/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",81853,11845,2023-01-26 23:33:56,2023-01-26 23:40:02
iost/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",77523,11786,2023-01-26 23:35:10,2023-01-26 23:40:50
rad/usdt,2021-10-07 07:00:00,2023-01-01 00:00:00,"450 days, 17:00:00",39511,11714,2023-01-26 23:36:21,2023-01-26 23:42:30
rare/usdt,2021-10-11 06:00:00,2023-01-01 00:00:00,"446 days, 18:00:00",46800,11637,2023-01-26 23:36:35,2023-01-26 23:42:56
alpine/usdt,2022-02-21 12:00:00,2023-01-01 00:00:00,"313 days, 12:00:00",43315,11586,2023-01-26 23:39:56,2023-01-26 23:45:41
ata/usdt,2021-06-07 06:00:00,2023-01-01 00:00:00,"572 days, 18:00:00",58095,11578,2023-01-26 23:40:05,2023-01-26 23:46:14
pundix/usdt,2021-04-09 04:00:00,2023-01-01 00:00:00,"631 days, 20:00:00",51827,11545,2023-01-26 23:40:53,2023-01-26 23:46:36
wnxm/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",53576,11511,2023-01-26 23:42:33,2023-01-26 23:49:49
chess/usdt,2021-10-22 06:00:00,2023-01-01 00:00:00,"435 days, 18:00:00",40557,11477,2023-01-26 23:42:59,2023-01-26 23:49:01
nbt/usdt,2022-03-11 06:00:00,2023-01-01 00:00:00,"295 days, 18:00:00",29430,11438,2023-01-26 23:45:44,2023-01-26 23:52:25
orn/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",91167,11376,2023-01-26 23:46:17,2023-01-26 23:51:51
gala/usdt,2021-09-13 06:00:00,2023-01-01 00:00:00,"474 days, 18:00:00",61625,11284,2023-01-26 23:46:39,2023-01-26 23:55:04
npxs/usdt,2021-01-01 00:00:00,2021-04-05 04:22:00,"94 days, 4:22:00",45094,11264,2023-01-26 23:49:04,2023-01-26 23:49:05
