pair,starttime,endtime,interval,0.01,0.02,start,end
mln/usdt,2021-07-05 06:00:00,2023-01-01 00:00:00,"544 days, 18:00:00",27884,9644,2023-01-13 14:35:45,2023-01-13 16:35:53
pyr/usdt,2021-11-26 08:00:00,2023-01-01 00:00:00,"400 days, 16:00:00",59273,9643,2023-01-13 15:50:55,2023-01-13 17:16:24
ant/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",79143,9607,2023-01-13 16:36:57,2023-01-13 19:52:51
pols/usdt,2021-05-19 07:00:00,2023-01-01 00:00:00,"591 days, 17:00:00",40883,9556,2023-01-13 16:59:27,2023-01-13 19:16:32
btg/usdt,2021-04-16 07:00:00,2022-10-24 08:59:00,"556 days, 1:59:00",46144,9531,2023-01-13 17:17:06,2023-01-13 19:16:00
crv/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",88881,9529,2023-01-13 17:25:19,2023-01-13 20:44:57
fida/usdt,2021-09-30 12:00:00,2023-01-01 00:00:00,"457 days, 12:00:00",31560,9514,2023-01-13 19:17:47,2023-01-13 21:10:33
skl/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",77779,9465,2023-01-13 19:54:37,2023-01-13 23:00:37
bake/usdt,2021-04-30 12:00:00,2023-01-01 00:00:00,"610 days, 12:00:00",71544,9342,2023-01-13 20:46:40,2023-01-13 23:05:05
mdx/usdt,2021-05-24 09:00:00,2023-01-01 00:00:00,"586 days, 15:00:00",45710,9324,2023-01-13 21:05:23,2023-01-13 23:25:04
bts/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",57874,9316,2023-01-13 21:11:20,2023-01-14 00:29:54
vet/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",78637,9222,2023-01-13 23:02:12,2023-01-14 02:06:12
lever/usdt,2022-07-13 04:00:00,2023-01-01 00:00:00,"171 days, 20:00:00",27489,9169,2023-01-15 07:22:57,2023-01-15 07:22:57
mbox/usdt,2021-08-19 08:00:00,2023-01-01 00:00:00,"499 days, 16:00:00",47086,9153,2023-01-13 23:26:07,2023-01-14 01:10:48
ava/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",52394,9081,2023-01-14 00:31:46,2023-01-14 03:21:10
clv/usdt,2021-07-29 06:00:00,2023-01-01 00:00:00,"520 days, 18:00:00",43757,9053,2023-01-14 01:11:49,2023-01-14 03:05:21
avax/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",93634,9009,2023-01-14 02:08:14,2023-01-14 05:09:35
hnt/usdt,2021-01-01 00:00:00,2022-10-14 02:59:00,"651 days, 2:59:00",83614,9001,2023-01-14 03:06:29,2023-01-14 05:51:55
gtc/usdt,2021-06-10 10:00:00,2023-01-01 00:00:00,"569 days, 14:00:00",55827,8822,2023-01-14 03:23:07,2023-01-14 05:27:02
for/usdt,2021-08-20 10:00:00,2023-01-01 00:00:00,"498 days, 14:00:00",35162,8811,2023-01-14 05:11:39,2023-01-14 06:55:08
stx/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",57221,8768,2023-01-14 05:28:17,2023-01-14 08:44:06
dgb/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",66878,8725,2023-01-14 05:53:31,2023-01-14 09:06:50
rune/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",93373,8470,2023-01-14 06:56:12,2023-01-14 10:06:06
ctk/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",67595,8425,2023-01-14 08:46:01,2023-01-14 11:53:06
icx/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",74950,8419,2023-01-14 09:09:02,2023-01-14 12:13:14
bzrx/usdt,2021-01-01 00:00:00,2021-12-20 03:59:00,"353 days, 3:59:00",81747,8383,2023-01-14 10:08:06,2023-01-14 11:43:55
rif/usdt,2021-01-07 13:00:00,2023-01-01 00:00:00,"723 days, 11:00:00",35117,8361,2023-01-14 11:44:42,2023-01-14 14:14:55
badger/usdt,2021-03-02 08:00:00,2023-01-01 00:00:00,"669 days, 16:00:00",53983,8304,2023-01-14 11:55:08,2023-01-14 14:28:22
aca/usdt,2022-01-25 12:00:00,2023-01-01 00:00:00,"340 days, 12:00:00",37647,8282,2023-01-14 12:15:19,2023-01-14 13:27:25
qtum/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",62349,8211,2023-01-14 13:28:01,2023-01-14 16:21:57
flux/usdt,2021-12-10 06:00:00,2023-01-01 00:00:00,"386 days, 18:00:00",41093,8117,2023-01-14 14:16:43,2023-01-14 15:34:40
ftt/usdt,2021-01-01 00:00:00,2022-11-15 04:29:00,"683 days, 4:29:00",26248,8012,2023-01-14 14:29:56,2023-01-14 17:20:03
gal/usdt,2022-05-05 12:00:00,2023-01-01 00:00:00,"240 days, 12:00:00",30530,8000,2023-01-15 07:22:58,2023-01-15 07:22:58
zrx/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",56120,7897,2023-01-14 16:23:52,2023-01-14 18:58:09
zil/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",69815,7879,2023-01-14 17:21:59,2023-01-14 20:14:02
c98/usdt,2021-07-23 12:00:00,2023-01-01 00:00:00,"526 days, 12:00:00",48981,7834,2023-01-14 19:00:45,2023-01-14 20:38:52
xrp/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",56506,7756,2023-01-14 20:16:20,2023-01-14 23:28:36
ren/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",69077,7708,2023-01-14 20:40:14,2023-01-14 23:44:09
rndr/usdt,2021-11-27 10:00:00,2023-01-01 00:00:00,"399 days, 14:00:00",42751,7702,2023-01-14 23:30:41,2023-01-15 00:50:18
ksm/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",67800,7670,2023-01-14 23:46:19,2023-01-15 02:34:03
high/usdt,2021-12-17 07:00:00,2023-01-01 00:00:00,"379 days, 17:00:00",39997,7639,2023-01-15 00:51:06,2023-01-15 02:01:18
cake/usdt,2021-02-19 06:00:00,2023-01-01 00:00:00,"680 days, 18:00:00",52604,7604,2023-01-15 02:02:03,2023-01-15 04:35:45
tomo/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",67449,7583,2023-01-15 02:36:41,2023-01-15 05:21:37
sun/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",50996,7571,2023-01-15 04:37:26,2023-01-15 07:35:25
sushi/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",74043,7467,2023-01-15 05:24:14,2023-01-15 08:18:03
ach/usdt,2022-01-10 10:00:00,2023-01-01 00:00:00,"355 days, 14:00:00",27460,7465,2023-01-15 07:22:59,2023-01-15 08:45:28
auction/usdt,2021-10-29 10:00:00,2023-01-01 00:00:00,"428 days, 14:00:00",22323,7456,2023-01-15 07:23:03,2023-01-15 09:05:07
epx/usdt,2022-05-23 04:00:00,2023-01-01 00:00:00,"222 days, 20:00:00",26310,7408,2023-01-15 07:23:10,2023-01-15 07:23:10
etc/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",59900,7329,2023-01-15 07:23:11,2023-01-15 10:46:32
near/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",70972,7269,2023-01-15 07:38:24,2023-01-15 11:25:29
agld/usdt,2021-10-05 07:00:00,2023-01-01 00:00:00,"452 days, 17:00:00",38438,7267,2023-01-15 08:20:56,2023-01-15 10:18:49
icp/usdt,2021-05-11 01:00:00,2023-01-01 00:00:00,"599 days, 23:00:00",61265,7243,2023-01-15 08:46:07,2023-01-15 11:12:07
lina/usdt,2021-03-18 12:00:00,2023-01-01 00:00:00,"653 days, 12:00:00",69955,7187,2023-01-15 09:05:55,2023-01-15 11:49:48
front/usdt,2021-10-04 10:00:00,2023-01-01 00:00:00,"453 days, 14:00:00",25506,7072,2023-01-15 10:19:40,2023-01-15 12:17:18
elf/usdt,2021-09-08 08:00:00,2023-01-01 00:00:00,"479 days, 16:00:00",24725,7006,2023-01-15 10:48:38,2023-01-15 13:02:15
lpt/usdt,2021-05-28 05:00:00,2023-01-01 00:00:00,"582 days, 19:00:00",32557,7000,2023-01-15 11:13:27,2023-01-15 13:49:43
quick/usdt,2021-08-13 12:00:00,2023-01-01 00:00:00,"505 days, 12:00:00",25086,6992,2023-01-15 11:27:10,2023-01-15 13:47:44
kava/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",69151,6964,2023-01-16 07:12:55,2023-01-16 10:34:04
xem/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",49082,6886,2023-01-15 12:18:12,2023-01-15 15:39:51
ygg/usdt,2021-09-24 06:00:00,2023-01-01 00:00:00,"463 days, 18:00:00",41186,6870,2023-01-15 13:02:56,2023-01-15 14:43:48
sys/usdt,2021-09-24 10:00:00,2023-01-01 00:00:00,"463 days, 14:00:00",45898,6828,2023-01-15 13:48:31,2023-01-15 15:38:08
egld/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",58227,6808,2023-01-15 13:50:40,2023-01-15 17:04:30
poly/usdt,2021-09-09 08:00:00,2022-10-10 02:59:00,"395 days, 18:59:00",29202,6758,2023-01-15 14:44:39,2023-01-15 16:13:53
qnt/usdt,2021-07-29 06:00:00,2023-01-01 00:00:00,"520 days, 18:00:00",49454,6737,2023-01-15 15:39:01,2023-01-15 17:37:26
bnx/usdt,2021-11-04 11:00:00,2023-01-01 00:00:00,"422 days, 13:00:00",36098,6671,2023-01-15 15:41:32,2023-01-15 17:14:58
snx/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",64774,6616,2023-01-15 16:14:34,2023-01-15 19:16:02
mkr/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",46549,6577,2023-01-15 17:06:24,2023-01-15 20:10:01
atom/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",74691,6416,2023-01-15 17:15:44,2023-01-15 20:15:57
ldo/usdt,2022-05-09 11:00:00,2023-01-01 00:00:00,"236 days, 13:00:00",30927,6397,2023-01-16 07:13:02,2023-01-16 07:13:02
dcr/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",36567,6210,2023-01-15 19:18:00,2023-01-15 22:07:43
mina/usdt,2021-08-10 06:00:00,2023-01-01 00:00:00,"508 days, 18:00:00",42842,6144,2023-01-15 20:11:55,2023-01-15 21:59:08
xlm/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",48318,6108,2023-01-15 20:17:51,2023-01-15 23:24:04
ont/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",50992,6075,2023-01-15 22:00:10,2023-01-16 01:10:31
alpaca/usdt,2021-08-11 08:00:00,2023-01-01 00:00:00,"507 days, 16:00:00",25538,6030,2023-01-15 22:09:55,2023-01-15 23:57:18
iota/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",58109,5937,2023-01-15 23:26:08,2023-01-16 02:36:24
glmr/usdt,2022-01-11 16:00:00,2023-01-01 00:00:00,"354 days, 8:00:00",36600,5929,2023-01-15 23:58:22,2023-01-16 01:13:17
ray/usdt,2021-08-10 06:00:00,2023-01-01 00:00:00,"508 days, 18:00:00",30747,5922,2023-01-16 01:12:25,2023-01-16 02:58:30
knc/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",61912,5902,2023-01-16 01:13:57,2023-01-16 04:13:49
ocean/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",58114,5856,2023-01-16 02:38:22,2023-01-16 05:39:53
algo/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",60531,5850,2023-01-16 02:59:37,2023-01-16 06:14:45
bat/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",51783,5818,2023-01-16 04:15:50,2023-01-16 07:25:01
nu/usdt,2021-06-04 05:30:00,2022-02-16 03:59:00,"256 days, 22:29:00",21588,5809,2023-01-16 05:41:58,2023-01-16 06:30:29
xec/usdt,2021-09-03 10:00:00,2023-01-01 00:00:00,"484 days, 14:00:00",29108,5806,2023-01-16 06:16:36,2023-01-16 08:11:18
astr/usdt,2022-02-28 11:30:00,2023-01-01 00:00:00,"306 days, 12:30:00",29695,5574,2023-01-16 06:30:52,2023-01-16 07:32:24
aave/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",60889,5573,2023-01-16 07:13:03,2023-01-16 10:30:56
omg/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",60097,5538,2023-01-16 07:27:27,2023-01-16 10:50:35
dydx/usdt,2021-09-09 02:00:00,2023-01-01 00:00:00,"478 days, 22:00:00",50097,5459,2023-01-16 07:33:01,2023-01-16 09:30:24
yfi/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",45257,5361,2023-01-16 08:12:25,2023-01-16 11:39:07
bico/usdt,2021-12-09 06:00:00,2023-01-01 00:00:00,"387 days, 18:00:00",34168,5306,2023-01-16 09:31:24,2023-01-16 11:07:06
ape/usdt,2022-03-17 14:30:00,2023-01-01 00:00:00,"289 days, 9:30:00",30521,5260,2023-01-16 10:33:09,2023-01-16 11:30:54
jst/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",41366,5251,2023-01-16 10:36:04,2023-01-16 13:58:53
api3/usdt,2022-01-21 10:30:00,2023-01-01 00:00:00,"344 days, 13:30:00",28493,5224,2023-01-16 10:52:43,2023-01-16 12:06:23
xvg/usdt,2021-06-06 10:00:00,2023-01-01 00:00:00,"573 days, 14:00:00",33516,5209,2023-01-16 11:07:47,2023-01-16 13:30:31
adx/usdt,2021-10-29 10:00:00,2023-01-01 00:00:00,"428 days, 14:00:00",15606,5128,2023-01-16 11:31:24,2023-01-16 13:05:15
bifi/usdt,2022-04-01 09:00:00,2023-01-01 00:00:00,"274 days, 15:00:00",18400,5128,2023-01-16 11:41:10,2023-01-16 12:37:20
zec/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",41774,5075,2023-01-16 12:07:02,2023-01-16 15:28:15
theta/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",62868,5066,2023-01-16 12:37:47,2023-01-16 15:59:47
kda/usdt,2022-03-11 11:30:00,2023-01-01 00:00:00,"295 days, 12:30:00",25597,5031,2023-01-16 13:06:07,2023-01-16 14:03:32
neo/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",44251,4836,2023-01-16 13:31:48,2023-01-16 16:54:35
ada/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",51704,4767,2023-01-16 14:00:58,2023-01-16 17:19:02
xno/usdt,2022-01-28 08:00:00,2023-01-01 00:00:00,"337 days, 16:00:00",14413,4705,2023-01-16 14:04:01,2023-01-16 15:16:16
movr/usdt,2021-11-08 06:00:00,2023-01-01 00:00:00,"418 days, 18:00:00",40361,4691,2023-01-16 15:16:55,2023-01-16 16:51:56
dot/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",50545,4683,2023-01-16 15:30:15,2023-01-16 18:49:37
keep/usdt,2021-06-17 06:00:00,2022-02-16 03:59:00,"243 days, 21:59:00",26003,4681,2023-01-16 16:01:53,2023-01-16 16:53:22
ens/usdt,2021-11-10 07:00:00,2023-01-01 00:00:00,"416 days, 17:00:00",38494,4677,2023-01-16 16:52:45,2023-01-16 18:25:02
fil/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",43467,4618,2023-01-16 16:53:42,2023-01-16 20:13:55
bnb/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",33758,4552,2023-01-16 16:56:30,2023-01-16 20:28:54
uni/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",52904,4503,2023-01-16 17:21:00,2023-01-16 20:42:10
waxp/usdt,2021-08-23 06:30:00,2023-01-01 00:00:00,"495 days, 17:30:00",29291,4480,2023-01-16 18:25:48,2023-01-16 20:19:47
dash/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",36988,4360,2023-01-16 18:51:41,2023-01-16 22:20:45
powr/usdt,2021-11-17 06:00:00,2023-01-01 00:00:00,"409 days, 18:00:00",21387,4281,2023-01-16 20:16:16,2023-01-16 21:58:55
any/usdt,2021-12-04 06:00:00,2022-03-30 03:59:00,"115 days, 21:59:00",20534,4220,2023-01-16 20:21:09,2023-01-16 20:34:42
bsw/usdt,2022-03-21 13:30:00,2023-01-01 00:00:00,"285 days, 10:30:00",16916,4179,2023-01-16 20:31:17,2023-01-16 21:38:05
eos/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",42157,4163,2023-01-16 20:34:51,2023-01-16 23:47:32
alcx/usdt,2021-11-30 06:00:00,2023-01-01 00:00:00,"396 days, 18:00:00",19498,4162,2023-01-17 07:09:53,2023-01-17 08:30:40
pla/usdt,2021-11-23 06:00:00,2023-01-01 00:00:00,"403 days, 18:00:00",19247,4084,2023-01-17 08:31:25,2023-01-17 09:50:43
nebl/usdt,2022-10-14 08:00:00,2023-01-01 00:00:00,"78 days, 16:00:00",12958,4083,2023-01-16 21:59:59,2023-01-16 21:59:59
city/usdt,2021-11-10 08:00:00,2023-01-01 00:00:00,"416 days, 16:00:00",22371,4067,2023-01-16 22:00:00,2023-01-16 23:20:32
mob/usdt,2022-04-29 10:00:00,2023-01-01 00:00:00,"246 days, 14:00:00",14172,3976,2023-01-16 22:23:00,2023-01-16 22:23:00
t/usdt,2022-02-25 04:00:00,2023-01-01 00:00:00,"309 days, 20:00:00",14917,3942,2023-01-16 22:23:01,2023-01-16 23:18:21
xtz/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",52029,3920,2023-01-16 23:18:56,2023-01-17 02:08:21
cvx/usdt,2021-12-23 14:00:00,2023-01-01 00:00:00,"373 days, 10:00:00",21311,3900,2023-01-16 23:21:20,2023-01-17 00:29:39
comp/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",42879,3849,2023-01-16 23:49:37,2023-01-17 02:35:46
op/usdt,2022-06-01 08:00:00,2023-01-01 00:00:00,"213 days, 16:00:00",30161,3795,2023-01-17 00:30:22,2023-01-17 00:30:22
fxs/usdt,2021-12-10 09:00:00,2023-01-01 00:00:00,"386 days, 15:00:00",20067,3473,2023-01-17 00:30:23,2023-01-17 01:41:24
imx/usdt,2022-01-10 10:00:00,2023-01-01 00:00:00,"355 days, 14:00:00",28810,3465,2023-01-17 01:42:10,2023-01-17 02:48:11
link/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",45040,3449,2023-01-17 02:10:33,2023-01-17 05:06:24
flow/usdt,2021-07-30 13:00:00,2023-01-01 00:00:00,"519 days, 11:00:00",42182,3399,2023-01-17 02:37:52,2023-01-17 04:20:30
multi/usdt,2022-04-06 04:00:00,2023-01-01 00:00:00,"269 days, 20:00:00",13315,3393,2023-01-17 02:48:51,2023-01-17 03:33:50
bal/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",32186,3390,2023-01-17 03:34:17,2023-01-17 06:24:44
joe/usdt,2021-12-28 11:00:00,2023-01-01 00:00:00,"368 days, 13:00:00",19796,3372,2023-01-17 04:21:39,2023-01-17 05:28:59
hft/usdt,2022-11-07 13:00:00,2023-01-01 00:00:00,"54 days, 11:00:00",12837,3286,2023-01-17 05:08:29,2023-01-17 05:08:29
nexo/usdt,2022-04-29 14:00:00,2023-01-01 00:00:00,"246 days, 10:00:00",12416,3274,2023-01-17 05:08:30,2023-01-17 05:08:30
steem/usdt,2022-04-22 10:00:00,2023-01-01 00:00:00,"253 days, 14:00:00",13961,3262,2023-01-17 05:08:31,2023-01-17 05:48:15
scrt/usdt,2022-01-21 12:00:00,2023-01-01 00:00:00,"344 days, 12:00:00",14693,3256,2023-01-17 05:29:44,2023-01-17 06:32:31
amp/usdt,2021-11-23 06:00:00,2023-01-01 00:00:00,"403 days, 18:00:00",13846,3209,2023-01-17 05:48:40,2023-01-17 07:09:07
phb/usdt,2022-11-18 09:00:00,2023-01-01 00:00:00,"43 days, 15:00:00",7775,3209,2023-01-17 06:26:43,2023-01-17 06:26:44
bch/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",32379,3035,2023-01-17 06:26:45,2023-01-17 09:35:11
ltc/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",33801,3012,2023-01-17 06:33:09,2023-01-17 09:34:00
rgt/usdt,2021-11-05 06:00:00,2022-03-14 03:59:00,"128 days, 21:59:00",10593,2779,2023-01-17 09:37:16,2023-01-17 09:49:44
lunc/usdt,2022-09-09 08:00:00,2023-01-01 00:00:00,"113 days, 16:00:00",15316,2742,2023-01-17 09:48:29,2023-01-17 09:48:29
mc/usdt,2021-12-02 08:00:00,2023-01-01 00:00:00,"394 days, 16:00:00",19852,2595,2023-01-17 09:48:30,2023-01-17 11:01:22
bnt/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",19882,2583,2023-01-17 09:49:51,2023-01-17 12:47:28
polyx/usdt,2022-10-17 08:00:00,2023-01-01 00:00:00,"75 days, 16:00:00",9306,2553,2023-01-17 09:51:30,2023-01-17 09:51:30
xmr/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",24857,2439,2023-01-17 09:51:31,2023-01-17 12:54:01
eth/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",23551,2407,2023-01-17 11:02:11,2023-01-17 14:01:43
stg/usdt,2022-08-19 09:00:00,2023-01-01 00:00:00,"134 days, 15:00:00",9625,2329,2023-01-17 12:49:41,2023-01-17 12:49:41
woo/usdt,2022-02-08 06:30:00,2023-01-01 00:00:00,"326 days, 17:30:00",21171,2109,2023-01-17 12:49:42,2023-01-17 13:51:05
ilv/usdt,2021-09-22 06:00:00,2023-01-01 00:00:00,"465 days, 18:00:00",12969,2079,2023-01-17 12:56:09,2023-01-17 14:25:37
trx/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",25494,2031,2023-01-17 13:51:42,2023-01-17 16:54:23
klay/usdt,2021-06-24 08:00:00,2023-01-01 00:00:00,"555 days, 16:00:00",16687,1961,2023-01-17 14:03:46,2023-01-17 15:58:07
gno/usdt,2021-08-30 06:00:00,2023-01-01 00:00:00,"488 days, 18:00:00",11013,1883,2023-01-17 14:26:36,2023-01-17 16:00:06
hook/usdt,2022-12-01 14:30:00,2023-01-01 00:00:00,"30 days, 9:30:00",6327,1458,2023-01-17 15:59:29,2023-01-17 15:59:29
xzc/usdt,2021-01-01 00:00:00,2021-01-25 01:59:00,"24 days, 1:59:00",6393,1193,2023-01-17 15:59:30,2023-01-17 16:07:19
btc/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",10396,1095,2023-01-17 16:01:16,2023-01-17 18:52:13
apt/usdt,2022-10-19 01:00:00,2023-01-01 00:00:00,"73 days, 23:00:00",5293,1053,2023-01-17 16:07:22,2023-01-17 16:07:23
gmx/usdt,2022-10-05 10:00:00,2023-01-01 00:00:00,"87 days, 14:00:00",5697,1041,2023-01-17 16:07:24,2023-01-17 16:07:24
ghst/usdt,2021-08-20 10:00:00,2023-01-01 00:00:00,"498 days, 14:00:00",4590,1003,2023-01-17 16:07:25,2023-01-17 17:39:58
magic/usdt,2022-12-12 08:00:00,2023-01-01 00:00:00,"19 days, 16:00:00",4002,836,2023-01-17 16:56:23,2023-01-17 16:56:23
osmo/usdt,2022-10-28 10:00:00,2023-01-01 00:00:00,"64 days, 14:00:00",3085,834,2023-01-17 16:56:24,2023-01-17 16:56:24
paxg/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",382,19,2023-01-17 16:56:25,2023-01-17 19:26:55
